title,desc,push_time,content,url
哪些一般纳税人可以转登记为小规模纳税人？,问：哪些一般纳税人可以转登记为小规模纳税人？,2018-05-08,答：国家税务总局公告2018年第18号，公告第一条对可以转登记为小规模纳税人的条件进行了界定，只有两个条件同时满足，才可以转登记为小规模纳税人。条件一，只有根据《增值税暂行条例》第十三条和《增值税暂行条例实施细则》第二十八条的有关规定登记的一般纳税人，可以转登记为小规模纳税人。《增值税暂行条例》第十三条规定的是，年应税销售额超过规定标准的小规模纳税人，应当办理一般纳税人登记；没超过规定标准的，如果会计核算健全，能够提供准确税务资料，也可以办理一般纳税人登记。《增值税暂行条例实施细则》第二十八条规定的是，工业50万、商业80万的小规模纳税人标准。两个条款联系起来理解，也就意味着按照工业50万、商业80万的标准登记的一般纳税人，包括强制登记和自愿登记的一般纳税人，都可以转登记为小规模纳税人。从另一个角度来理解，此次允许转登记的，不包括按照500万元的标准登记为一般纳税人的营改增企业。条件二，转登记日前连续12个月（以1个月为1个纳税期，下同）或者连续4个季度（以1个季度为1个纳税期，下同）累计应税销售额没有超过500万元。,http://old.nb-n-tax.gov.cn/bsfw/12366lx/rdwt/201805/t20180508_435898.htm
申报表如何填写？,问：申报表如何填写？,2018-05-08,答：为配合税率调整政策的落实，同时兼顾政策实施后的效应分析工作，税务总局本着尽量不做大的调整的原则，在维持原申报表基本结构和栏次不变的前提下，对《增值税纳税申报表附列资料（一）》（本期销售情况明细）和《增值税纳税申报表附列资料（三）》（服务、不动产和无形资产扣除项目明细）个别栏次的填报内容进行了调整。一方面，是将申报表中原来的17%项目、11%项目的栏次名称相应修改为16%栏次、10%栏次，停用“13%税率”的相关栏次。另一方面，考虑到纳税人可能会出现申报以前所属期税款的情形，相关文件明确，纳税人申报适用17%、11%的原税率应税项目时，按照申报表调整前后的对应关系，分别填写在相关栏次中。简单来说，从6月份申报期开始，纳税人如果要申报17%、11%的应税项目，可以分别填写在16%项目、10%项目的相关栏次内。,http://old.nb-n-tax.gov.cn/bsfw/12366lx/rdwt/201805/t20180508_435897.htm
税率调整前后发票如何衔接？,问：税率调整前后发票如何衔接？,2018-05-08,答：纳税人在税率调整前已经按照原税率开具发票的业务，在5月1日以后，如果发生销售折让、中止或者退回的，纳税人按照原适用税率开具红字发票；如果因为开票有误需要重新开具发票的，先按照原适用税率开具红字发票，然后再重新开具正确的蓝字发票。纳税人在税率调整前没有开具发票的业务，如果需要补开发票，也应当按照原适用税率补开。需要提醒大家的是，税控开票软件的税率栏次，默认显示的是调整后的税率，纳税人发生上述情况，需要手工选择原适用税率开具发票。,http://old.nb-n-tax.gov.cn/bsfw/12366lx/rdwt/201805/t20180508_435895.htm
怎么理解“从5月1日起”调整税率？,问：怎么理解“从5月1日起”调整税率？,2018-05-08,答：“从5月1日起”，指的是纳税义务发生时间。凡是纳税义务发生时间在5月1日之前的，一律适用原来17%、11%的税率纳税，按照原税率开具发票；相反，凡是纳税义务发生时间在5月1日之后的，则适用调整后的16%、10%的新税率纳税，按照新税率开具发票。,http://old.nb-n-tax.gov.cn/bsfw/12366lx/rdwt/201805/t20180508_435893.htm
纳税人销售成品油可以开具哪些类型的发票？,问：纳税人销售成品油可以开具哪些类型的发票？,2018-04-11,答：纳税人可开具增值税专用发票、增值税普通发票、增值税普通发票（卷式）、增值税电子普通发票。,http://old.nb-n-tax.gov.cn/bsfw/12366lx/rdwt/201804/t20180411_432006.htm
销售成品油，开具发票时右上角上面是否要写上成品油这几个字？,问：销售成品油，开具发票时右上角上面是否要写上成品油这几个字？,2018-04-11,答：成品油专用发票、普通发票、电子普通发票左上角打印“成品油”字样；普通发票（卷式）无此要求。,http://old.nb-n-tax.gov.cn/bsfw/12366lx/rdwt/201804/t20180411_432005.htm
企业购进废机油再销售，是否在成品油模块开具发票？,问:企业购进废机油再销售，是否按照国家税务总局公告2018年第1号文件规定，在成品油模块开具发票？如果需要，企业购进废机油时无法取得专票进行勾选确认，因此，销售数量必然大于勾选确认的购进数量，这种情况应如何处理？,2018-04-11,答：购进废机油再销售不按照国家税务总局公告2018年第1号文件执行。,http://old.nb-n-tax.gov.cn/bsfw/12366lx/rdwt/201804/t20180411_432002.htm
4S店、汽车修理厂主要提供修理劳务，偶尔零售润滑油，是否属于文件规定的成品油经销企业？,问：4S店、汽车修理厂主要提供修理劳务，偶尔零售润滑油，是否属于文件规定的成品油经销企业？,2018-04-11,答：凡销售成品油（汽油、柴油、航空煤油、石脑油、溶剂油、润滑油、燃料油）的单位均属于成品油经销企业，需按照国家税务总局公告2018年1号执行。,http://old.nb-n-tax.gov.cn/bsfw/12366lx/rdwt/201804/t20180411_432001.htm
企业如何办理注销税务登记？,问：企业如何办理注销税务登记？,2018-04-11,答：已实行“三证合一、一照一码”登记模式的企业，根据《国家税务总局关于落实“三证合一”登记制度改革的通知》(税总函〔2015〕482号 )规定，企业可向国税、地税任何一方税务主管机关提出清税申报，填写《清税申报表》。国税、地税税务主管机关按照各自职责分别进行清税，清税完毕后由受理税务机关统一出具《清税证明》。未实行“三证合一、一照一码”登记模式的企业，按照《纳税服务规范》有关规定办理注销税务登记。,http://old.nb-n-tax.gov.cn/bsfw/12366lx/rdwt/201804/t20180411_432000.htm
普通发票的开具要求有哪些？,问：普通发票的开具要求有哪些？,2018-04-11,答：一、根据《国务院关于修改<中华人民共和国发票管理办法>的决定》(中华人民共和国国务院令第587号)规定：“《中华人民共和国发票管理办法》第十九条销售商品、提供服务以及从事其他经营活动的单位和个人，对外发生经营业务收取款项，收款方应当向付款方开具发票；特殊情况下，由付款方向收款方开具发票”。第二十二条规定：“开具发票应当按照规定的时限、顺序、栏目，全部联次一次性如实开具，并加盖发票专用章。任何单位和个人不得有下列虚开发票行为：（一）为他人、为自己开具与实际经营业务情况不符的发票；（二）让他人为自己开具与实际经营业务情况不符的发票；（三）介绍他人开具与实际经营业务情况不符的发票。”二、根据《中华人民共和国发票管理办法实施细则》（国家税务总局令第37号）第二十四条规定：“《办法》第十九条所称特殊情况下，由付款方向收款方开具发票，是指下列情况：(一)收购单位和扣缴义务人支付个人款项时;(二)国家税务总局认为其他需要由付款方向收款方开具发票的。”第二十五条规定：“向消费者个人零售小额商品或者提供零星服务的，是否可免予逐笔开具发票，由省税务机关确定。”第二十六条规定：“填开发票的单位和个人必须在发生经营业务确认营业收入时开具发票。未发生经营业务一律不准开具发票。”第二十八条规定：“单位和个人在开具发票时，必须做到按照号码顺序填开，填写项目齐全，内容真实，字迹清楚，全部联次一次打印，内容完全一致，并在发票联和抵扣联加盖发票专用章。”第二十九条规定：“开具发票应当使用中文。民族自治地方可以同时使用当地通用的一种民族文字。”,http://old.nb-n-tax.gov.cn/bsfw/12366lx/rdwt/201804/t20180411_431998.htm
纳税人3月10日前没有录入后续是否可以补录？,问：成品油经销企业应于2018年3月10日前（包括3月10日），将截至2018年2月28日的成品油库存情况（不包括未取得增值税专用发票、海关进口消费税专用缴款书的成品油库存）录入增值税发票选择确认平台。纳税人3月10日前没有录入后续是否可以补录？,2018-04-11,答：此种情况，可采取向上游销货企业更换成品油发票的方式解决。可以到主管税务机关补录，带上营业执照、经办人身份证、税控（金税）盘，要录入库存的成品油发票原件或复印件。,http://old.nb-n-tax.gov.cn/bsfw/12366lx/rdwt/201804/t20180411_431999.htm
如何开具成品油发票？,问：如何开具成品油发票？,2018-04-11,"答：根据《国家税务总局关于成品油消费税征收管理有关问题的公告》（国家税务总局公告2018年第1号）第一条规定：“所有成品油发票均须通过增值税发票管理新系统中成品油发票开具模块开具。（一）销售成品油所开具的增值税发票为成品油发票。成品油发票是指销售汽油、柴油、航空煤油、石脑油、溶剂油、润滑油、燃料油等成品油所开具的增值税专用发票（以下称“成品油专用发票”）和增值税普通发票。（二）成品油发票开具模块由主管税务机关开通。成品油的生产和经销企业分别使用相应的成品油发票开具模块。（三）纳税人应按照以下规则开具成品油发票：1.正确选择商品和服务税收分类与编码。2.发票“单位”栏应选择“吨”或“升”,蓝字发票的“数量”栏为必填项且不为“0”。成品油消费税实行从量计征，为便于计算成品油发票上载明的成品油数量对应的消费税税额，成品油发票的“数量”栏统一为“吨”或“升”，以其他计量单位销售的成品油开具发票时，应按规定的换算率换算为“吨”或“升”。3.开具成品油专用发票后，发生销货退回、开票有误以及销售折让等情形，应按规定开具红字成品油专用发票。销货退回、开票有误等原因涉及销售数量的，应在《开具红字增值税专用发票信息表》中填写相应数量，销售折让的不填写数量。4.成品油批发和加油站等经销企业，开具成品油发票的某一类别油品总量，应不大于所取得的成品油专用发票、海关进口消费税专用缴款书载明的同一类别油品总量。成品油经销企业开具成品油发票前，应登陆增值税发票选择确认平台确认已取得的成品油专用发票、海关进口消费税专用缴款书信息，并通过成品油发票开具模块下载上述信息。”",http://old.nb-n-tax.gov.cn/bsfw/12366lx/rdwt/201804/t20180411_431993.htm
亏损企业对外进行的公益性捐赠可否税前扣除？,问：亏损企业对外进行的公益性捐赠可否税前扣除？举例：A公司2017年度经会计中介审计的会计利润为亏损100万元，2017年度对外进行公益性捐赠200万元，该公益性捐赠是否可以税前扣除？,2018-03-28,答：根据《财政部、国家税务总局关于公益性捐赠支出企业所得税税前结转扣除有关政策的通知》（财税〔2018〕15号）文件规定，“企业通过公益性社会组织或者县级（含县级）以上人民政府及其组成部门和直属机构，用于慈善活动、公益事业的捐赠支出，在年度利润总额12%以内的部分，准予在计算应纳税所得额时扣除；超过年度利润总额12%的部分，准予结转以后三年内在计算应纳税所得额时扣除。”因此，亏损企业发生的公益性捐赠支出，应按照“结转以后三年内在计算应纳税所得额时扣除”的规定执行，不能在亏损当年度税前扣除。,http://old.nb-n-tax.gov.cn/bsfw/12366lx/rdwt/201803/t20180328_430233.htm
用电商平台销售产品给好评顾客的返现，能否税前扣除？,问：目前，不少企业运用电商平台销售产品，顾客使用产品后在网上进行评论，对给予好评的顾客进行一定金额的现金返还。该返现支出无法取得发票，企业也无法在销售发票上注明返现金额，但是可提供电商系统定单明细清册、返现明细清单等资料，是否可以据此税前列支？,2018-03-28,答：由于返现和购买方的评价直接相关，好评率影响企业的外在形象，建议按照广告和业务宣传费处理。企业给予好评顾客的现金返还，企业需留存活动规则（通告）、电子商务系统内定单明细清册、实际已返现明细清单、支付凭证等资料。,http://old.nb-n-tax.gov.cn/bsfw/12366lx/rdwt/201803/t20180328_430231.htm
解除劳动合同支付经济补偿金是否可以在税前扣除？,"问：解除劳动合同支付经济补偿金是否可以在税前扣除？
    答：企业因解除劳动关系向职工支付的经济补偿、生活补助等支出，按劳动部关于《违反和解除劳动合同的经济补偿办法》规定支付给职工的经济补偿金，可在企业所得税税前扣除。",2018-03-28,,http://old.nb-n-tax.gov.cn/bsfw/12366lx/rdwt/201803/t20180328_430228.htm
汇算清缴后取得的发票在发票对应业务所属年度还是发票取得年度扣除？,暂无,2018-03-28,暂无,http://old.nb-n-tax.gov.cn/bsfw/12366lx/rdwt/201803/t20180328_430226.htm
企业筹备期收到政府补助如何征税？,问：企业筹备期收到政府补助如何征税？,2018-03-28,答：根据企业所得税法实施条例第二十八条和财税〔2011〕70号文件规定，企业筹备期收到的政府补助如符合不征税收入条件，且企业选择按照不征税收入进行税务处理的，不征税收入用于支出所形成的费用或资产折旧、摊销，不得税前扣除。收到的政府补助如不符合不征税收入条件，或者虽然符合不征税收入条件但是企业选择按照征税收入进行税务处理的，用于支出所形成的费用或资产折旧、摊销按规定税前扣除。,http://old.nb-n-tax.gov.cn/bsfw/12366lx/rdwt/201803/t20180328_430224.htm
个人出租不动产申请代开增值税发票时，需要提供什么资料？,问：个人出租不动产申请代开增值税发票时，需要提供什么资料？,2018-02-06,答：《国家税务总局关于纳税人申请代开增值税发票办理流程的公告》(国家税务总局公告2016年第59号)规定:三、纳税人销售取得的不动产和其他个人出租不动产代开增值税发票业务所需资料，仍然按照《国家税务总局关于加强和规范税务机关代开普通发票工作的通知》(国税函〔2004〕1024号)第二条第(五)项执行。《国家税务总局关于加强和规范税务机关代开普通发票工作的通知》（国税函〔2004〕1024号 ）规定：申请代开发票的单位和个人应当凭有关证明材料，向主管税务机关申请代开普通发票。本条所称有关证明材料，是指：1.申请代开发票人的合法身份证件；2.付款方（或接受劳务服务方）对所购物品品名（或劳务服务项目）、单价、金额等出具的书面确认证明。,http://old.nb-n-tax.gov.cn/bsfw/12366lx/rdwt/201802/t20180206_425609.htm
可以自行开具增值税专用发票的小规模纳税人，是否可以申请税务机关代开？,问：根据文件规定，工业以及信息传输、软件和信息技术服务业可以通过增值税发票新系统自行开具增值税专用发票。若增值税小规模纳税人只有部分月度（季度）销售额超过标准，且不愿意领用增值税专用发票自行开具的，可否申请税务机关代开？,2018-02-06,答：《国家税务总局关于增值税发票管理若干事项的公告》(国家税务总局公告2017年第45号)文件的政策解读规定，试点纳税人可以选择自行开具增值税专用发票或者向国税机关申请代开。已经选择自行开具的增值税小规模纳税人，国税机关不再为其代开。,http://old.nb-n-tax.gov.cn/bsfw/12366lx/rdwt/201802/t20180206_425608.htm
初次申请增值税普通发票需要哪些资料？,问：初次申请增值税普通发票需要哪些资料？,2018-02-06,答：根据《全国税务机关纳税服务规范》，需要如下资料：(1)《纳税人领用发票票种核定表》2份。(2)经办人身份证明原件(首次办理或经办人发生变化时提供)。(3)发票专用章印模(首次申请发票票种核定时提供)。,http://old.nb-n-tax.gov.cn/bsfw/12366lx/rdwt/201802/t20180206_425606.htm
享受小型微利企业所得税优惠政策的条件是如何规定的？,问：享受小型微利企业所得税优惠政策的条件是如何规定的？,2018-02-06,答：根据《财政部 国家税务总局关于扩大小型微利企业所得税优惠政策范围的通知》（财税〔2017〕43号）第一条规定：自2017年1月1日至2019年12月31日，将小型微利企业的年应纳税所得额上限由30万元提高至50万元，对年应纳税所得额低于50万元(含50万元)的小型微利企业，其所得减按50%计入应纳税所得额，按20%的税率缴纳企业所得税。前款所称小型微利企业，是指从事国家非限制和禁止行业，并符合下列条件的企业： (一)工业企业，年度应纳税所得额不超过50万元，从业人数不超过100人，资产总额不超过3000万元;(二)其他企业，年度应纳税所得额不超过50万元，从业人数不超过80人，资产总额不超过1000万元。,http://old.nb-n-tax.gov.cn/bsfw/12366lx/rdwt/201802/t20180206_425604.htm
小规模纳税人自行开具的增值税专用发票，如何填写申报表？,问：小规模纳税人自行开具的增值税专用发票，如何填写申报表？,2018-02-06,答：根据《国家税务总局关于进一步明确营改增有关征管问题的公告》（国家税务总局公告2017年第11号）、《国家税务总局关于开展鉴证咨询业增值税小规模纳税人自开增值税专用发票试点工作有关事项的公告》（国家税务总局公告2017年4号）、《国家税务总局关于在境外提供建筑服务等有关问题的公告》（国家税务总局公告2016年69号）分别规定，建筑行业、鉴证咨询业、住宿业小规模纳税人，自开发票试点纳税人所开具的增值税专用发票应缴纳的税款，应在规定的纳税申报期内，向主管国税机关申报纳税。在填写增值税纳税申报表时，应将当期开具增值税专用发票的销售额，按照3%和5%的征收率，分别填写在《增值税纳税申报表》(小规模纳税人适用)第2栏和第5栏“税务机关代开的增值税专用发票不含税销售额”的“本期数”相应栏次中。,http://old.nb-n-tax.gov.cn/bsfw/12366lx/rdwt/201802/t20180206_425602.htm
开具发票时如何选择对应的商品分类编码？,,2018-02-06,问：开具发票时如何选择对应的商品分类编码？答：按照《国家税务总局关于增值税发票管理若干事项的公告》（国家税务总局公告2017年第45号）附件编码指导填报。,http://old.nb-n-tax.gov.cn/bsfw/12366lx/rdwt/201802/t20180206_425600.htm
我单位取得的ETC通行费，只收到了电子发票，如何进行抵扣？,问：我单位取得的ETC通行费，只收到了电子发票，如何进行抵扣？,2018-01-31,答：根据《交通运输部 国家税务总局关于收费公路通行费增值税电子普通发票开具等有关事项的公告》（交通运输部公告2017年第66号）规定：“四、通行费电子发票其他规定（一）增值税一般纳税人取得符合规定的通行费电子发票后，应当自开具之日起360日内登陆本省（区、市）增值税发票选择确认平台，查询、选择用于申报抵扣的通行费电子发票信息。同时，根据《财政部 税务总局关于租入固定资产进项税额抵扣等增值税政策的通知》（财税[2017]90号）规定：“七、自2018年1月1日起，纳税人支付的道路、桥、闸通行费，按照以下规定抵扣进项税额：（一）纳税人支付的道路通行费，按照收费公路通行费增值税电子普通发票上注明的增值税额抵扣进项税额。”,http://old.nb-n-tax.gov.cn/bsfw/12366lx/rdwt/201801/t20180131_424951.htm
机动车销售发票是否需打印税收分类编码?,问：机动车销售发票是否需打印税收分类编码?,2018-01-31,答：根据《国家税务总局关于增值税发票管理若干事项的公告》(国家税务总局公告2017年第45号)第一条规定：“自2018年1月1日起，纳税人通过增值税发票管理新系统开具增值税发票（包括：增值税专用发票、增值税普通发票、增值税电子普通发票）时，商品和服务税收分类编码对应的简称会自动显示并打印在发票票面“货物或应税劳务、服务名称”或“项目”栏次中。”因此，机动车销售发票不需打印税收。,http://old.nb-n-tax.gov.cn/bsfw/12366lx/rdwt/201801/t20180131_424950.htm
支付给非居民企业的股息、红利扣缴义务发生时间？,问：支付给非居民企业的股息、红利扣缴义务发生时间？,2018-01-31,答：国家税务总局公告2017年第37号第七条规定：非居民企业取得应源泉扣缴的所得为股息、红利等权益性投资收益的，相关应纳税款扣缴义务发生之日为股息、红利等权益性投资收益实际支付之日。(这和原来不同了，原来是利润分配日和实际支付日哪个先按哪个，现在就是按实际支付日）扣缴义务人应当自扣缴义务发生之日起7日内向扣缴义务人所在地主管税务机关申报和解缴代扣税款。,http://old.nb-n-tax.gov.cn/bsfw/12366lx/rdwt/201801/t20180131_424948.htm
未打印商品和服务税收分类编码简称的增值税发票能否正常使用？,问：未打印商品和服务税收分类编码简称的增值税发票能否正常使用？,2018-01-31,答：根据《国家税务总局货物和劳务税司有关负责人就推行商品和服务税收分类编码简称有关问题答问》：由于纳税人众多，系统升级需要一个过程，部分纳税人因未进行系统升级导致开具的增值税发票票面上未打印商品和服务税收分类编码简称。未打印商品和服务税收分类编码简称的增值税发票可以正常使用，无需重新开具。,http://old.nb-n-tax.gov.cn/bsfw/12366lx/rdwt/201801/t20180131_424947.htm
企业持有的固定资产评估增值是否缴纳企业所得税？,问：企业持有的固定资产评估增值是否缴纳企业所得税？,2017-11-27,答：根据《中华人民共和国企业所得税法实施条例》第五十六条规定，企业的各项资产，包括固定资产、生物资产、无形资产、长期待摊费用、投资资产、存货等，以历史成本为计税基础。前款所称历史成本，是指企业取得该项资产时实际发生的支出。企业持有各项资产期间资产增值或者减值，除国务院财政、税务主管部门规定可以确认损益外，不得调整该资产的计税基础。因此，企业在固定资产持有期间发生评估增值，除国务院财政、税务主管部门规定可以确认损益外，不得调整该资产的计税基础。同时评估增值不涉及该固定资产的所有权转移，则不需要计入收入缴纳企业所得税。,http://old.nb-n-tax.gov.cn/bsfw/12366lx/rdwt/201711/t20171127_417507.htm
我公司为通过资格考试的员工报销报名费，请问是属于职工福利费还是职工教育经费？,问：我公司为通过资格考试的员工报销报名费，请问是属于职工福利费还是职工教育经费？,2017-11-27,答：根据《财政部、全国总工会、国家发改委教育部科技部、国务院国资委、国家税务总局、全国工商联关于印发<关于企业职工教育经费提取与使用管理意的见>的通知》（财建[2006]317号）的规定，职工参加的职业技能鉴定、职业资格认证等经费支出属于企业职工教育经费列支范围。因此贵公司支付的报名费属于职工教育经费。,http://old.nb-n-tax.gov.cn/bsfw/12366lx/rdwt/201711/t20171127_417506.htm
我公司有境外分支机构，请问境外分支机构的合理支出范围指的是什么？,问：我公司有境外分支机构，请问境外分支机构的合理支出范围指的是什么？,2017-11-27,答：根据《国家税务总局关于发布<企业境外所得税收抵免操作指南>的公告》（国家税务总局公告2010年第1号）规定，境外分支机构的合理支出范围包括境外分支机构发生的人员工资、资产折旧、利息、相关税费和应分摊的总机构用于管理分支机构的管理费用等。,http://old.nb-n-tax.gov.cn/bsfw/12366lx/rdwt/201711/t20171127_417505.htm
对外支付特许权使用费，计算所得税时收入如何确认？,问：我公司需要对外支付一笔特许权使用费，已代扣代缴了增值税，请问在计算缴纳企业所得税时，是否应该按不含增值税的收入计算？,2017-11-27,答：根据《国家税务总局关于营业税改征增值税试点中非居民企业缴纳企业所得税有关问题的公告》（国家税务总局公告2013年第9号）规定，营业税改征增值税试点中的非居民企业，取得《中华人民共和国企业所得税法》第三条第三款规定的所得，在计算缴纳企业所得税时，应以不含增值税的收入全额作为应纳税所得额。,http://old.nb-n-tax.gov.cn/bsfw/12366lx/rdwt/201711/t20171127_417504.htm
