title,desc,content,url
财务高凤险如何解除,问：身份证被多家企业注册成财务负责人，该企业已成高风险，无法取得联系，财务负责人如何解除高风险。,答：您好！您提交的问题已收悉，现针对您所提供的信息回复如下：      个人需要解除财务负责人信息，请与企业所在地的主管税务机关进行联系处理。      感谢您的咨询！上述回复仅供参考，若您对此仍有疑问，请联系12366热线或您的主管税务机关咨询。  ,http://www.sn-n-tax.gov.cn/portal/jsp/portal/interaction/zxzx/zxzx_result.jsp?siteCategoryCode=003001007&styleName=blue&contentId=L2N2MOPMTE67NU5S9VVIZJHW6JJD6MA3
就是你们不是弄了那个支付宝和微信可以彩票参与发票抽奖的事情,问：抽奖后的二次抽奖怎么举办呢？怎么才能知道中奖了呢？,答：第二次开奖全年不超过4 次。开奖结果除现场公证、现场公布外，购方可通过陕西省国家税务局官方网站、支付宝 或官方微信公众号查询第二次开奖结果。  ,http://www.sn-n-tax.gov.cn/portal/jsp/portal/interaction/zxzx/zxzx_result.jsp?siteCategoryCode=003001007&styleName=blue&contentId=FDLPYKJENQ49T2EVHNBQNH5OQOG2WQOZ
请问下企业上报了12月20号开的发票，多久后可以在网上查询发票真伪。,问：请问下企业上报了12月20号开的发票，多久后可以在网上查询发票真伪。,答：您好！您提交的问题已收悉，现针对您所提供的信息回复如下：发票开具24小时以后可以在增值税发票查验平台查询。 感谢您的咨询！上述回复仅供参考，若您对此仍有疑问，请联系12366热线或您的主管税务机关咨询。,http://www.sn-n-tax.gov.cn/portal/jsp/portal/interaction/zxzx/zxzx_result.jsp?siteCategoryCode=003001007&styleName=blue&contentId=I9N34WZFWVJVUROG8RZFPC04MBYDY3QL
三证合一备案所需资料,"问：沣东新城国税,三证合一备案都需要带什么资料?必须是采集过信息的人才能去还是公司其他人也可以?",答：    您好！您提交的问题已收悉，现针对您所提供的信息回复如下：     实行“三证合一、一照一码”登记的纳税人办理涉税事宜时，在完成补充信息采集后，凭加载统一代码的营业执照可代替税务登记证使用。补充信息采集应提供资料: 　　(1)加载统一社会信用代码的营业执照。  　　(2)经办人身份证明。     单位名称 沣东分局办税服务厅      单位地址 西咸新区沣东新城城市广场      联系电话 029-89500137      感谢您的咨询！上述回复仅供参考，若您对此仍有疑问，请联系12366热线或您的主管税务机关咨询。  ,http://www.sn-n-tax.gov.cn/portal/jsp/portal/interaction/zxzx/zxzx_result.jsp?siteCategoryCode=003001007&styleName=blue&contentId=K2JAO81L7YEJJL3WDVA6JXSE9T2HIIY3
test,问：＇!!!/》<；>；--（/1/）<；/>；《,答：无效,http://www.sn-n-tax.gov.cn/portal/jsp/portal/interaction/zxzx/zxzx_result.jsp?siteCategoryCode=003001007&styleName=blue&contentId=F0RUNZ59LEXTDCXSNP7ZX83AT70Q0GCO
alter1111111111111111111111111111111111111,问：1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,答：无效,http://www.sn-n-tax.gov.cn/portal/jsp/portal/interaction/zxzx/zxzx_result.jsp?siteCategoryCode=003001007&styleName=blue&contentId=F1HVDNNQGOFNLQER6T0MIB0GU40YJQX9
alter111111111111111《/ 》1111111111111111111111344444444444444444444444444455555555555555555,问：666666666666666666661111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,答：无效。,http://www.sn-n-tax.gov.cn/portal/jsp/portal/interaction/zxzx/zxzx_result.jsp?siteCategoryCode=003001007&styleName=blue&contentId=18DD7NLLMRPMT8X0G7YVZC3H5XLY8VGK
alter1111111111111111111111111111111111111344444444444444444444444444455555555555555555,问：666666666666666666661111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,答：无效。  ,http://www.sn-n-tax.gov.cn/portal/jsp/portal/interaction/zxzx/zxzx_result.jsp?siteCategoryCode=003001007&styleName=blue&contentId=I37MHEBTSG3JX39N88MAYB4CAALA10CY
alter1111111111111111111111111111111111111344444444444444444444444444455555555555555555,问：1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,答：无效。  ,http://www.sn-n-tax.gov.cn/portal/jsp/portal/interaction/zxzx/zxzx_result.jsp?siteCategoryCode=003001007&styleName=blue&contentId=MAIWNOWXBL7INGDFBN8TFMBSU59JTG08
alter11111111111111111111111111111111111113444444444444444444444444444,问：1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,答：无效。  ,http://www.sn-n-tax.gov.cn/portal/jsp/portal/interaction/zxzx/zxzx_result.jsp?siteCategoryCode=003001007&styleName=blue&contentId=Q636TCPOO9A0M0NS1MYOPQ0PB5OLS7N1
个人所得税比例陕西省,问：个人所得税比例陕西省,答：您好！您提交的问题已收悉，现针对您所提供的信息回复如下：     因您咨询的问题较笼统，请留下详细信息或拨打12366热线咨询。   感谢您的咨询！上述回复仅供参考，若您对此仍有疑问，请联系12366热线或您的主管税务机关咨询。  ,http://www.sn-n-tax.gov.cn/portal/jsp/portal/interaction/zxzx/zxzx_result.jsp?siteCategoryCode=003001007&styleName=blue&contentId=NPXZNJG6CG9FT3IEKLN4RBKAS3KDNFWL
个人所得税比例陕西省个人所得税比例陕西省    个人所得税比例陕西省,问：个人所得税比例陕西省,答：您好！您提交的问题已收悉，现针对您所提供的信息回复如下：     因您咨询的问题较笼统，请留下详细信息或拨打12366热线咨询。   感谢您的咨询！上述回复仅供参考，若您对此仍有疑问，请联系12366热线或您的主管税务机关咨询。  ,http://www.sn-n-tax.gov.cn/portal/jsp/portal/interaction/zxzx/zxzx_result.jsp?siteCategoryCode=003001007&styleName=blue&contentId=LR6ZVHYVBGVHCB2P09AAVKBM54I1EFEN
个人所得税比例陕西省,问：个人所得税比例陕西省,答：您好！您提交的问题已收悉，现针对您所提供的信息回复如下：     因您咨询的问题较笼统，请留下详细信息或拨打12366热线咨询。  感谢您的咨询！上述回复仅供参考，若您对此仍有疑问，请联系12366热线或您的主管税务机关咨询。  ,http://www.sn-n-tax.gov.cn/portal/jsp/portal/interaction/zxzx/zxzx_result.jsp?siteCategoryCode=003001007&styleName=blue&contentId=36FHJN6KKAHWBAGG81HOABHY6SFHA1T6
个人所得税比例陕西省,问：个人所得税比例陕西省,答： 您好！您提交的问题已收悉，现针对您所提供的信息回复如下：      因您咨询的问题较笼统，请留下详细信息或拨打12366热线咨询。      感谢您的咨询！上述回复仅供参考，若您对此仍有疑问，请联系12366热线或您的主管税务机关咨询。  ,http://www.sn-n-tax.gov.cn/portal/jsp/portal/interaction/zxzx/zxzx_result.jsp?siteCategoryCode=003001007&styleName=blue&contentId=3574932BF760ZQ1KBOM1KAV2BRE3F56Q
物业公司水电费等问题,问：麻烦问下小规模物业公司收取的电梯费、垃圾费，还有代收代付的水电费到底怎么进行账务处理？按收入处理还是代收代付？税率又是多少？一次性收取全年的物业费，只要不是一次性开票，按月分摊开票的话，缴纳增值税的时候是不是也是按月分摊的比例缴纳的？,答：您好！您提交的问题已收悉，现针对您所提供的信息回复如下： 很抱歉，账务问题不属于12366受理咨询范围；关于税率问题，电梯使用费、装修垃圾清运费属于“现代服务—商务辅助服务—企业管理服务—物业管理”，税率6%。城市生活垃圾处置费属于行政事业性收费的不征税，否则按照物业管理服务一并征收。根据《国家税务总局关于物业管理服务中收取的自来水水费增值税问题的公告》（国家税务总局公告2016年第54号） 提供物业管理服务的纳税人，向服务接受方收取的自来水水费，以扣除其对外支付的自来水水费后的余额为销售额，按照简易计税方法依3%的征收率计算缴纳增值税。销售电，税率17%。根据《财政部 国家税务总局关于全面推开营业税改征增值税试点的通知》（财税〔2016〕36号 ）第四十五条 增值税纳税义务、扣缴义务发生时间为：（一）纳税人发生应税行为并收讫销售款项或者取得索取销售款项凭据的当天；先开具发票的，为开具发票的当天。感谢您的咨询！上述回复仅供参考，若您对此仍有疑问，请联系12366热线或您的主管税务机关咨询。 ,http://www.sn-n-tax.gov.cn/portal/jsp/portal/interaction/zxzx/zxzx_result.jsp?siteCategoryCode=003001007&styleName=blue&contentId=JPQSCI0VK6LQY51AM0M1MSA7TXFX18N6
陕西省国家税务局电子税务局网站增值税普票代开无法使用,问：在陕西省国家税务局电子税务局网站上使用增值税普票代开功能，最后一步总是提示：保存失败，传入的纳税人识别号码不得为空,答：您好！您提交的问题已收悉，现针对您所提供的信息回复如下： 如果无法提交，可联系电子税务局客服：4007151555或029-95113。或大厅现场填写代开增值税发票缴纳税款申报单。感谢您的咨询！上述回复仅供参考，若您对此仍有疑问，请联系12366热线或您的主管税务机关咨询。,http://www.sn-n-tax.gov.cn/portal/jsp/portal/interaction/zxzx/zxzx_result.jsp?siteCategoryCode=003001007&styleName=blue&contentId=C197TIOFP73Z99NMYIMLMQZ5G824MV1D
关于公司+!!!农户的模式销售农产品增值税、所得税备案免税的问题,问：陕西省国家税务局： 我公司是宝鸡新希望农牧有限公司，注册税号9161032405042424XJ。位于宝鸡市扶风县。成立于2012年7月，主营业务为饲料生产销售，生猪养殖销售。 公司于2017年1月开展生猪养殖业务。采取公司+!!!农户形式，由公司租赁猪场或农民自己提供猪场，与农民签订委托养殖协议。公司提公司猪苗、饲料、兽药等。猪的产权归公司，但猪场、人员都不属于公司。养成后销售，根据国税总局2013年8号公告。属于农业生产者销售自产农产品，根据规定免征增值税。 由于公司租赁的猪场刚刚跨县，我们在扶风县办理增值税免税备案的过程中。税务局认为是属地管理 ，让我们必须成立分支机构，然后在当地县办理税务免税备案。 由于我公司后期业务，可能在陕西省内很多县都进行公司+!!!农户的放养业务。这样实际操作不太现实，不可能每个县都成立分支机构。我们了解到同行在其他省市进行该业务时，税务局也提到这个属地管理 。但是只要解释是公司+农户的模式。就给予了免税备案。 想咨询一下，这个业务到底该怎么处理。谢谢。,答：您好！您提交的问题已收悉，现针对您所提供的信息回复如下：您的问题已经作为咨询工单流转给相关部门，业务工单编号02043228，您可以拨打12366查询流转情况。   感谢您的咨询！上述回复仅供参考，若您对此仍有疑问，请联系12366 热线或您的主管税务机关咨询。  ,http://www.sn-n-tax.gov.cn/portal/jsp/portal/interaction/zxzx/zxzx_result.jsp?siteCategoryCode=003001007&styleName=blue&contentId=KN2UOHX5QW9MIH1SJAE5J9C8W8H4U6LN
变更发票领购人,问：好，麻烦问下变更发票领购人时说要出具公司的证明，请问这个证明税务局有固定格式或者表格吗？还是说公司自己出个证明盖上公章就可以了呢？麻烦解答下，谢谢了。,答：您好！您提交的问题已收悉，现针对您所提供的信息回复如下：暂无此类证明的固定格式或表格。 感谢您的咨询！上述回复仅供参考，若您对此仍有疑问，请联系12366热线或您的主管税务机关咨询。,http://www.sn-n-tax.gov.cn/portal/jsp/portal/interaction/zxzx/zxzx_result.jsp?siteCategoryCode=003001007&styleName=blue&contentId=OQPRUOR2OGB81R26DER7IDFT0T9STQV1
购买商品房后开发票为何不对？,问：我于2016年在汉中南郑县城西湖御都项目购买了面积102.66平米的商品房，总价318326元，开发商给我开了俩张分别为17万元，10万元的不动产发票，最后却开了一张价税和计为48326元的增值税发票，开票金额46024.76元，税率5％，税额2301.24元，为什么不开48326元的不动产发票？即使交税，也应该开发商交？我用现金交完契税，地税给我的是却是税收缴款书而不是完税证明，为什么？,答： 已通过161000000000002027490工单，电话方式回复纳税人：感谢您的咨询！您的问题我们已通过电话形式答复，若您对此仍有疑问，请联系12366纳税服务热线或主管税务机关。,http://www.sn-n-tax.gov.cn/portal/jsp/portal/interaction/zxzx/zxzx_result.jsp?siteCategoryCode=003001007&styleName=blue&contentId=2QGLC2U3LJ256FQ2HKH6BCJYJ24YBHTR
纳税咨询查询问题,"问：你好，纳税咨询这个窗口我觉的非常好，给我们纳税人解决了很多问题，但是有一点我不明百，我如果要找相关问题的时候，搜关键字后出来几页结果，我只能看到第一页的内容，无法看到以后几页的内容，我点击下一页或者输入第几页点击 GO,之后就会到达整个纳税咨询的下一页或者第几页的位置了，而无法到达我关键字搜索的以后内容，也许是我操作不对，还请解决一下，我想很多人都遇到这个问题。",答： 您好！您提交的问题已收悉，现针对您所提供的信息回复如下：您的意见我们已向网站管理部门反馈。  感谢您的咨询！上述回复仅供参考，若您对此仍有疑问，请联系12366 热线或您的主管税务机关咨询。   ,http://www.sn-n-tax.gov.cn/portal/jsp/portal/interaction/zxzx/zxzx_result.jsp?siteCategoryCode=003001007&styleName=blue&contentId=7MHZ8PKX3J1A2F5FGYRH7NMEMDWP7G0X
不动产经营性租赁,问：请问我单位出租2016年4月30日前取得的房屋，是选择按11％的税率计算增值税还是按简易征收办法5％的税率计算增值税，两者到底有何区别？如果收到其他单位给我单位开具的房租增值税专用发票，我单位能否抵扣？谢谢。,"答：您好！您提交的问题已收悉，现针对您所提供的信息回复如下：     根据《财政部 国家税务总局关于全面推开营业税改征增值税试点的通知》（财税〔2016〕36号）规定，一般纳税人出租其2016年4月30日前取得的不动产，可以选择适用简易计税方法,按照5%的征收率计算应纳税额。纳税人出租其2016年4月30日前取得的与机构所在地不在同一县（市）的不动产，应按照上述计税方法在不动产所在地预缴税款后，向机构所在地主管税务机关进行纳税申报。      如果贵公司选择简易计税，则不得抵扣进项税额，一般计税方法可以抵扣对应的进项税额。     感谢您的咨询！上述回复仅供参考，若您对此仍有疑问，请联系12366热线或您的主管税务机关咨询。 ",http://www.sn-n-tax.gov.cn/portal/jsp/portal/interaction/zxzx/zxzx_result.jsp?siteCategoryCode=003001007&styleName=blue&contentId=1YB4MLTSAVWT4J9BW1DM3TFT03Y7EHDF
